test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines,querySelectivity,temporalRangeIndex,iteration,queryid,cardinality,queryMode
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,EnvironmentCoverage,edgesDirection,2.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,20,MaintenanceOwners,edgesDirection,4548.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,AgentOutlier,edgesDirection,63369.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,20,EnvironmentAggregate,edgesDirection,5872.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,20,AgentOutlier,edgesDirection,8217.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,EnvironmentAggregate,edgesDirection,7490.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,AgentOutlier,edgesDirection,83796.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,4,AgentHistory,edgesDirection,3.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,AgentOutlier,edgesDirection,10178.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,1,EnvironmentCoverage,edgesDirection,18.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,AgentOutlier,edgesDirection,10113.0,-1.0,-1,,0,2.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,12,AgentOutlier,edgesDirection,44140.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,12,MaintenanceOwners,edgesDirection,24071.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,12.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,AgentOutlier,edgesDirection,10235.0,-1.0,-1,,0,3.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,AgentHistory,edgesDirection,6.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,2,EnvironmentCoverage,edgesDirection,9.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,AgentHistory,edgesDirection,6.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,4,AgentHistory,edgesDirection,2.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,AgentOutlier,edgesDirection,84705.0,-1.0,-1,,0,2.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,20,AgentOutlier,edgesDirection,8091.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,15.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,117799.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,EnvironmentAggregate,edgesDirection,7615.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,12,EnvironmentAggregate,edgesDirection,9824.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,1,MaintenanceOwners,edgesDirection,91272.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,MaintenanceOwners,edgesDirection,36061.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,12,EnvironmentCoverage,edgesDirection,1.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,EnvironmentAggregate,edgesDirection,7385.0,-1.0,-1,,0,2.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,2,AgentHistory,edgesDirection,8.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,4,EnvironmentAggregate,edgesDirection,29555.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,12,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,16,EnvironmentAggregate,edgesDirection,22813.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,8,AgentOutlier,edgesDirection,20264.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,1,EnvironmentCoverage,edgesDirection,12.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,294975.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,MaintenanceOwners,edgesDirection,37089.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,16,EnvironmentAggregate,edgesDirection,22793.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,20,EnvironmentAggregate,edgesDirection,6255.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,12,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,12,EnvironmentAggregate,edgesDirection,30835.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,20,EnvironmentAggregate,edgesDirection,18238.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,EnvironmentCoverage,edgesDirection,5.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,EnvironmentCoverage,edgesDirection,2.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,20,EnvironmentAggregate,edgesDirection,18505.0,-1.0,-1,,0,1.0,,,
